employee_id,name,department,job_title,location,annual_salary_inr,years_experience,age,status,performance_rating,projects_completed,joining_year,manager_name,employment_type,primary_skills
10040,Isha Nair,Technology,Software Engineer,Delhi,1333535,2.9,45,Active,Excellent,1,2014,Shreya Kapoor,Full Time,"Machine Learning, Python, Scikit-learn"
10041,Nikhil Mehta,Product,Product Analyst,Kolkata,1948022,3.2,40,Active,Needs Improvement,6,2011,Simran Desai,Full Time,"Machine Learning, Python, Scikit-learn"
10042,Kabir Joshi,Finance,Finance Manager,Mumbai,1336512,1.5,30,Active,Excellent,4,2013,Siddharth Kapoor,Full Time,"AWS, Docker, Kubernetes"
10043,Manish Nair,Product,Product Operations Analyst,Chennai,606459,14.2,34,Active,Meets Expectations,1,2020,Manish Sharma,Full Time,"Python, SQL, Pandas"
10044,Manish Sharma,Technology,Software Engineer,Gurugram,2121791,11.1,51,On Leave,Meets Expectations,6,2016,Nikhil Mehta,Full Time,"AWS, Docker, Kubernetes"
10045,Meera Rao,Analytics,Data Analyst,Bengaluru,1826809,12.1,29,Notice Period,Needs Improvement,5,2022,Varun Shah,Contract,"Machine Learning, Python, Scikit-learn"
10046,Maya Desai,Human Resources,People Operations Analyst,Kolkata,1559686,12.8,56,Active,Excellent,3,2014,Siddharth Verma,Contract,"Java, Spring Boot, SQL"
10047,Aarav Kulkarni,Cybersecurity,Security Engineer,Delhi,2144502,11.4,44,Notice Period,Good,6,2017,Isha Sharma,Full Time,"Python, SQL, Pandas"
10048,Pooja Gupta,Product,Product Analyst,Chennai,2032005,6.6,32,Active,Needs Improvement,2,2018,Karan Shah,Full Time,"Data Governance, SQL, Collibra"
10049,Naina Nair,Analytics,Business Analyst,Hyderabad,2294657,9.6,54,Active,Good,6,2024,Shreya Verma,Contract,"Machine Learning, Python, Scikit-learn"
10050,Isha Rao,Operations,Program Coordinator,Pune,1978395,10.8,24,Notice Period,Needs Improvement,3,2022,Naina Sharma,Full Time,"Python, PySpark, AWS"
10051,Tanvi Gupta,Technology,AI Engineer,Bengaluru,2067725,8.6,36,On Leave,Very Good,8,2011,Pooja Desai,Full Time,"Excel, SQL, Tableau"
10052,Neha Patel,Cybersecurity,Security Engineer,Gurugram,2015596,12.8,51,Active,Good,1,2024,Maya Shah,Contract,"SQL, Power BI, Excel"
10053,Siddharth Sharma,Operations,Program Coordinator,Pune,529704,10.8,43,Active,Good,4,2026,Tanvi Gupta,Contract,"Excel, SQL, Tableau"
10054,Isha Desai,Finance,Financial Analyst,Noida,874322,12.3,51,Active,Excellent,6,2015,Aditya Verma,Full Time,"Data Governance, SQL, Collibra"
10055,Priya Rao,Human Resources,HR Analyst,Mumbai,697675,8.6,54,Active,Needs Improvement,8,2024,Arjun Iyer,Full Time,"SQL, Power BI, Excel"
10056,Priya Rao,Finance,Risk Analyst,Chennai,1913775,6.5,52,Active,Meets Expectations,2,2022,Varun Shah,Full Time,"Java, Spring Boot, SQL"
10057,Manish Patel,Human Resources,HR Analyst,Chennai,816816,3.3,25,Active,Meets Expectations,7,2025,Manish Sharma,Full Time,"Python, SQL, Pandas"
10058,Varun Shah,Analytics,BI Analyst,Gurugram,2197362,12.7,42,Active,Good,2,2021,Aditi Desai,Full Time,"Python, SQL, Pandas"
10059,Varun Kulkarni,Sales,Business Development Executive,Mumbai,2180631,3.5,39,Active,Good,3,2021,Aditi Joshi,Full Time,"Java, Spring Boot, SQL"
10060,Aditi Joshi,Cybersecurity,Security Analyst,Bengaluru,886186,5.3,51,On Leave,Very Good,5,2016,Kabir Joshi,Full Time,"Excel, SQL, Tableau"
10061,Siddharth Gupta,Sales,Business Development Executive,Delhi,1365108,10.9,39,Active,Meets Expectations,8,2014,Naina Khan,Contract,"Excel, SQL, Tableau"
10062,Neha Gupta,Marketing,Digital Marketing Manager,Mumbai,787667,10.6,53,Active,Needs Improvement,5,2018,Dev Singh,Full Time,"Data Governance, SQL, Collibra"
10063,Shreya Iyer,Finance,Finance Manager,Pune,1673147,6.1,25,Active,Meets Expectations,3,2016,Priya Iyer,Contract,"Python, PySpark, AWS"
10064,Kavya Desai,Technology,ML Engineer,Bengaluru,1402491,4.4,35,On Leave,Very Good,5,2017,Karan Kapoor,Full Time,"Machine Learning, Python, Scikit-learn"
10065,Aarav Desai,Finance,Finance Manager,Bengaluru,2068356,5.3,31,Active,Excellent,2,2018,Meera Kulkarni,Full Time,"SQL, Power BI, Excel"
10066,Kavya Desai,Technology,AI Engineer,Pune,1616565,8.1,36,Notice Period,Excellent,7,2015,Neha Mehta,Full Time,"Python, PySpark, AWS"
10067,Karan Kulkarni,Sales,Account Executive,Gurugram,497282,9.4,40,Active,Meets Expectations,3,2015,Kabir Rao,Full Time,"Risk Analysis, Excel, SQL"
10068,Simran Kapoor,Cybersecurity,Cybersecurity Engineer,Hyderabad,783149,8.2,35,Active,Excellent,2,2020,Nikhil Desai,Contract,"Python, SQL, Pandas"
10069,Neha Nair,Sales,Business Development Executive,Hyderabad,2112858,9.5,25,Active,Good,5,2019,Neha Desai,Contract,"Java, Spring Boot, SQL"
10070,Simran Iyer,Finance,Financial Analyst,Pune,1309949,7.9,52,Active,Very Good,8,2021,Varun Patel,Full Time,"Data Governance, SQL, Collibra"
10071,Dev Joshi,Human Resources,HR Analyst,Mumbai,746587,4.3,29,Active,Meets Expectations,5,2014,Manish Joshi,Full Time,"Excel, SQL, Tableau"
10072,Neha Kulkarni,Operations,Operations Analyst,Delhi,1010773,8.8,26,Active,Excellent,6,2022,Yash Joshi,Full Time,"AWS, Docker, Kubernetes"
10073,Neha Desai,Technology,Backend Developer,Chennai,884083,11.0,30,Notice Period,Needs Improvement,4,2024,Priya Shah,Full Time,"Machine Learning, Python, Scikit-learn"
10074,Yash Verma,Product,Associate Product Manager,Gurugram,1571091,10.7,21,Notice Period,Very Good,8,2018,Simran Kapoor,Full Time,"Python, PySpark, AWS"
10075,Siddharth Gupta,Product,Associate Product Manager,Ahmedabad,1121763,14.6,21,Notice Period,Meets Expectations,6,2025,Simran Sharma,Full Time,"Python, SQL, Pandas"
10076,Shreya Singh,Human Resources,Talent Partner,Bengaluru,1480814,3.1,31,Active,Needs Improvement,3,2016,Nikhil Singh,Full Time,"Data Governance, SQL, Collibra"
10077,Arjun Kapoor,Sales,Sales Analyst,Gurugram,994517,14.6,41,Active,Excellent,4,2025,Nikhil Singh,Full Time,"Excel, SQL, Tableau"
10078,Aditya Gupta,Technology,AI Engineer,Noida,1589719,11.3,23,Active,Very Good,3,2025,Dev Shah,Full Time,"SQL, Power BI, Excel"
10079,Meera Verma,Cybersecurity,Security Engineer,Ahmedabad,2207923,9.5,44,Active,Very Good,4,2011,Manish Patel,Full Time,"Data Governance, SQL, Collibra"
10080,Riya Mehta,Cybersecurity,Security Engineer,Noida,1060398,9.8,33,Active,Meets Expectations,4,2017,Yash Rao,Full Time,"Data Governance, SQL, Collibra"
10081,Aditya Khan,Finance,FP&A Analyst,Noida,1051749,2.5,46,Active,Very Good,4,2015,Rohan Kulkarni,Contract,"Java, Spring Boot, SQL"
10082,Aditi Joshi,Operations,Operations Analyst,Mumbai,1944028,11.4,44,On Leave,Needs Improvement,1,2023,Tanvi Gupta,Contract,"Excel, SQL, Tableau"
10083,Nikhil Rao,Analytics,Senior Data Analyst,Delhi,1796146,6.5,49,On Leave,Good,4,2021,Sneha Verma,Full Time,"LLM, RAG, LangChain, Python"
10084,Priya Nair,Human Resources,People Operations Analyst,Ahmedabad,1219925,2.8,52,On Leave,Excellent,3,2015,Nikhil Shah,Contract,"Python, SQL, Pandas"
10085,Simran Joshi,Operations,Program Coordinator,Hyderabad,888704,5.3,34,Notice Period,Very Good,3,2015,Aditya Rao,Full Time,"Python, PySpark, AWS"
10086,Arjun Iyer,Product,Product Operations Analyst,Hyderabad,2382045,0.6,58,Notice Period,Needs Improvement,4,2016,Neha Sharma,Full Time,"Excel, SQL, Tableau"
10087,Simran Shah,Operations,Operations Manager,Gurugram,1629355,14.5,25,On Leave,Good,7,2016,Yash Kapoor,Full Time,"Python, PySpark, AWS"
10088,Priya Nair,Operations,Operations Manager,Ahmedabad,1672801,10.4,32,Active,Good,8,2014,Aarav Joshi,Full Time,"LLM, RAG, LangChain, Python"
10089,Rohan Desai,Data Engineering,Data Platform Engineer,Pune,727550,5.4,33,Active,Very Good,4,2018,Siddharth Sharma,Full Time,"SQL, Power BI, Excel"
10090,Pooja Kulkarni,Cybersecurity,Cybersecurity Engineer,Kolkata,739193,10.5,52,Notice Period,Meets Expectations,4,2014,Kavya Patel,Full Time,"SQL, Power BI, Excel"
10091,Vikram Verma,Operations,Operations Analyst,Noida,1675594,8.2,56,Active,Very Good,4,2018,Isha Patel,Full Time,"LLM, RAG, LangChain, Python"
10092,Neha Rao,Human Resources,HR Analyst,Mumbai,1878928,4.2,44,Active,Very Good,5,2011,Shreya Patel,Contract,"Machine Learning, Python, Scikit-learn"
10093,Neha Kulkarni,Analytics,Business Analyst,Chennai,2367379,7.3,34,On Leave,Meets Expectations,8,2012,Rohan Gupta,Full Time,"SQL, Power BI, Excel"
10094,Arjun Rao,Analytics,Business Analyst,Kolkata,2209652,10.6,21,On Leave,Very Good,6,2015,Vikram Iyer,Contract,"Python, PySpark, AWS"
10095,Maya Singh,Product,Associate Product Manager,Pune,2261595,7.0,26,Active,Needs Improvement,2,2019,Kavya Mehta,Contract,"Risk Analysis, Excel, SQL"
10096,Vikram Joshi,Operations,Operations Analyst,Bengaluru,2092326,14.9,55,On Leave,Needs Improvement,5,2021,Harsh Joshi,Contract,"LLM, RAG, LangChain, Python"
10097,Kabir Gupta,Human Resources,Talent Partner,Hyderabad,2093079,9.9,41,Active,Excellent,8,2018,Siddharth Shah,Full Time,"AWS, Docker, Kubernetes"
10098,Riya Gupta,Human Resources,HR Manager,Kolkata,1928646,14.3,56,On Leave,Needs Improvement,1,2014,Siddharth Mehta,Full Time,"Python, PySpark, AWS"
10099,Vikram Mehta,Sales,Business Development Executive,Noida,1965624,14.4,38,Active,Very Good,2,2014,Aditi Khan,Contract,"Machine Learning, Python, Scikit-learn"
10100,Rahul Verma,Operations,Operations Manager,Gurugram,1070038,1.6,57,Notice Period,Excellent,7,2022,Kavya Gupta,Contract,"Python, SQL, Pandas"
10101,Sneha Joshi,Human Resources,Talent Partner,Kolkata,901557,7.1,34,Active,Very Good,5,2015,Rahul Desai,Full Time,"SQL, Power BI, Excel"
10102,Yash Rao,Marketing,Growth Analyst,Gurugram,1980315,12.3,31,Active,Good,1,2018,Siddharth Shah,Full Time,"Machine Learning, Python, Scikit-learn"
10103,Dev Gupta,Human Resources,HR Manager,Mumbai,1972529,13.5,49,Active,Excellent,1,2022,Sneha Khan,Full Time,"AWS, Docker, Kubernetes"
10104,Kabir Gupta,Product,Product Analyst,Noida,2190473,2.9,56,Active,Excellent,3,2016,Shreya Nair,Contract,"Data Governance, SQL, Collibra"
10105,Meera Verma,Cybersecurity,Security Analyst,Pune,957943,7.2,51,Notice Period,Needs Improvement,6,2016,Manish Shah,Full Time,"SQL, Power BI, Excel"
10106,Kabir Verma,Data Engineering,ETL Developer,Gurugram,1709319,9.7,53,On Leave,Excellent,3,2016,Kabir Verma,Full Time,"Python, PySpark, AWS"
10107,Arjun Khan,Sales,Sales Analyst,Bengaluru,1107645,9.3,55,Active,Good,3,2014,Dev Rao,Contract,"Risk Analysis, Excel, SQL"
10108,Harsh Rao,Operations,Operations Analyst,Chennai,1857950,11.0,34,Active,Meets Expectations,7,2012,Dev Khan,Contract,"LLM, RAG, LangChain, Python"
10109,Neha Rao,Sales,Business Development Executive,Gurugram,702544,8.7,45,Active,Excellent,4,2017,Meera Rao,Contract,"Data Governance, SQL, Collibra"
10110,Aditya Shah,Finance,Risk Analyst,Delhi,2032112,10.1,32,On Leave,Excellent,1,2020,Riya Singh,Full Time,"SQL, Power BI, Excel"
10111,Simran Shah,Data Engineering,ETL Developer,Gurugram,2169219,13.4,57,Active,Needs Improvement,5,2025,Dev Joshi,Full Time,"Python, PySpark, AWS"
10112,Naina Shah,Technology,Software Engineer,Pune,1211332,3.5,24,Notice Period,Excellent,7,2016,Aditi Mehta,Full Time,"Java, Spring Boot, SQL"
10113,Karan Gupta,Human Resources,HR Manager,Delhi,1647579,2.9,55,Active,Needs Improvement,8,2012,Sneha Singh,Full Time,"AWS, Docker, Kubernetes"
10114,Riya Sharma,Data Engineering,Data Engineer,Chennai,1979113,1.7,37,Active,Needs Improvement,4,2012,Riya Verma,Contract,"LLM, RAG, LangChain, Python"
10115,Vikram Singh,Sales,Sales Analyst,Delhi,2303451,5.4,47,Active,Needs Improvement,3,2017,Harsh Gupta,Full Time,"LLM, RAG, LangChain, Python"
10116,Neha Sharma,Sales,Business Development Executive,Bengaluru,2383540,4.4,52,Active,Good,5,2012,Kabir Joshi,Full Time,"Excel, SQL, Tableau"
10117,Rahul Khan,Operations,Process Analyst,Kolkata,1213589,13.1,23,Active,Needs Improvement,3,2021,Aditya Rao,Contract,"Excel, SQL, Tableau"
10118,Sneha Iyer,Finance,Finance Manager,Kolkata,2022894,13.0,57,Active,Good,8,2022,Maya Iyer,Full Time,"Excel, SQL, Tableau"
10119,Maya Sharma,Sales,Business Development Executive,Ahmedabad,1742028,9.8,45,On Leave,Very Good,5,2026,Rohan Singh,Full Time,"SQL, Power BI, Excel"
10120,Pooja Kulkarni,Analytics,Senior Data Analyst,Bengaluru,1862822,9.6,25,Notice Period,Very Good,6,2013,Kavya Patel,Contract,"AWS, Docker, Kubernetes"
10121,Manish Desai,Data Engineering,Data Platform Engineer,Kolkata,2358427,13.5,24,Active,Needs Improvement,3,2016,Meera Mehta,Contract,"Python, SQL, Pandas"
10122,Dev Patel,Cybersecurity,Cybersecurity Engineer,Hyderabad,1159311,1.0,36,Active,Meets Expectations,6,2016,Rahul Sharma,Full Time,"AWS, Docker, Kubernetes"
10123,Yash Singh,Finance,Financial Analyst,Ahmedabad,2269550,1.4,55,Active,Excellent,2,2022,Vikram Mehta,Contract,"Risk Analysis, Excel, SQL"
10124,Siddharth Sharma,Cybersecurity,Security Engineer,Mumbai,928982,1.4,31,Active,Meets Expectations,4,2017,Varun Gupta,Full Time,"Machine Learning, Python, Scikit-learn"
10125,Arjun Joshi,Product,Product Analyst,Kolkata,2325164,7.2,40,Active,Very Good,7,2026,Tanvi Rao,Full Time,"LLM, RAG, LangChain, Python"
10126,Varun Rao,Marketing,Growth Analyst,Gurugram,1135343,5.6,43,Active,Excellent,7,2013,Siddharth Nair,Full Time,"Data Governance, SQL, Collibra"
10127,Tanvi Joshi,Operations,Process Analyst,Ahmedabad,2399984,1.6,42,Active,Very Good,7,2024,Tanvi Iyer,Full Time,"Risk Analysis, Excel, SQL"
10128,Sneha Gupta,Cybersecurity,IAM Analyst,Chennai,2368900,12.3,51,Active,Needs Improvement,8,2021,Simran Shah,Full Time,"Machine Learning, Python, Scikit-learn"
10129,Kabir Gupta,Operations,Operations Manager,Pune,2392277,3.6,56,Active,Needs Improvement,7,2012,Pooja Gupta,Full Time,"Risk Analysis, Excel, SQL"
10130,Aarav Joshi,Operations,Operations Analyst,Mumbai,1095377,1.9,54,Active,Good,3,2019,Nikhil Verma,Full Time,"SQL, Power BI, Excel"
10131,Priya Verma,Technology,Software Engineer,Chennai,1531400,14.0,45,Active,Good,4,2013,Sneha Khan,Full Time,"Python, PySpark, AWS"
10132,Karan Khan,Marketing,Growth Analyst,Mumbai,652499,2.3,50,Active,Very Good,3,2023,Nikhil Verma,Contract,"LLM, RAG, LangChain, Python"
10133,Kavya Patel,Analytics,BI Analyst,Delhi,563334,0.7,56,Active,Very Good,6,2019,Tanvi Kulkarni,Full Time,"LLM, RAG, LangChain, Python"
10134,Aditi Joshi,Operations,Program Coordinator,Delhi,1536611,1.5,48,Active,Excellent,4,2019,Kavya Desai,Full Time,"Excel, SQL, Tableau"
10135,Dev Desai,Marketing,Digital Marketing Manager,Bengaluru,1744126,5.4,33,Active,Meets Expectations,5,2022,Aditya Khan,Full Time,"Data Governance, SQL, Collibra"
10136,Tanvi Gupta,Finance,Financial Analyst,Chennai,1867620,0.8,50,Active,Very Good,1,2013,Yash Desai,Full Time,"Java, Spring Boot, SQL"
10137,Ananya Gupta,Sales,Account Executive,Hyderabad,1573639,13.4,23,Active,Needs Improvement,3,2016,Simran Patel,Full Time,"LLM, RAG, LangChain, Python"
10138,Pooja Desai,Finance,Risk Analyst,Mumbai,2325368,1.6,44,Active,Excellent,7,2024,Priya Kulkarni,Contract,"Python, SQL, Pandas"
10139,Nikhil Verma,Data Engineering,Data Engineer,Kolkata,2359051,4.5,55,Notice Period,Meets Expectations,5,2012,Harsh Joshi,Contract,"LLM, RAG, LangChain, Python"
10140,Simran Shah,Cybersecurity,IAM Analyst,Mumbai,1112794,5.8,49,Active,Needs Improvement,6,2015,Aarav Shah,Contract,"Python, SQL, Pandas"
10141,Aarav Joshi,Technology,AI Engineer,Noida,1779776,7.9,31,Active,Meets Expectations,6,2026,Riya Kulkarni,Full Time,"Excel, SQL, Tableau"
10142,Harsh Nair,Product,Associate Product Manager,Chennai,1593200,5.1,38,Notice Period,Meets Expectations,4,2016,Aditi Kapoor,Full Time,"Python, PySpark, AWS"
10143,Dev Kapoor,Operations,Operations Analyst,Noida,1937180,4.5,26,Active,Good,2,2019,Aditi Khan,Full Time,"Data Governance, SQL, Collibra"
10144,Aarav Joshi,Human Resources,HR Manager,Delhi,585023,8.5,43,Active,Meets Expectations,1,2012,Tanvi Verma,Contract,"AWS, Docker, Kubernetes"
10145,Isha Mehta,Analytics,BI Analyst,Bengaluru,1652421,3.5,37,Active,Excellent,6,2011,Maya Sharma,Full Time,"LLM, RAG, LangChain, Python"
10146,Nikhil Patel,Operations,Program Coordinator,Ahmedabad,1386257,9.2,41,Active,Good,2,2020,Aditi Iyer,Full Time,"AWS, Docker, Kubernetes"
10147,Simran Desai,Finance,FP&A Analyst,Pune,1231171,7.8,38,Active,Needs Improvement,5,2018,Rahul Patel,Full Time,"Risk Analysis, Excel, SQL"
10148,Vikram Verma,Analytics,BI Analyst,Mumbai,1673941,6.3,52,Active,Very Good,8,2023,Rohan Patel,Full Time,"LLM, RAG, LangChain, Python"
10149,Arjun Patel,Human Resources,HR Manager,Kolkata,874329,6.0,50,Active,Needs Improvement,8,2018,Kavya Khan,Contract,"Excel, SQL, Tableau"
10150,Rohan Iyer,Marketing,Marketing Specialist,Gurugram,1457810,4.7,29,Notice Period,Meets Expectations,8,2026,Sneha Verma,Full Time,"Risk Analysis, Excel, SQL"
10151,Pooja Gupta,Cybersecurity,IAM Analyst,Ahmedabad,680454,5.3,25,On Leave,Good,1,2012,Aarav Mehta,Contract,"SQL, Power BI, Excel"
10152,Kabir Nair,Human Resources,Talent Partner,Pune,756853,9.3,53,Active,Very Good,8,2013,Siddharth Kulkarni,Full Time,"SQL, Power BI, Excel"
10153,Naina Desai,Operations,Program Coordinator,Pune,608511,3.9,23,Notice Period,Good,3,2011,Aditya Khan,Full Time,"Java, Spring Boot, SQL"
10154,Sneha Joshi,Operations,Operations Analyst,Pune,675665,3.6,42,Notice Period,Meets Expectations,8,2024,Naina Rao,Full Time,"Machine Learning, Python, Scikit-learn"
10155,Aditi Rao,Analytics,Senior Data Analyst,Delhi,607431,2.5,23,Active,Meets Expectations,7,2015,Kavya Singh,Full Time,"AWS, Docker, Kubernetes"
10156,Karan Rao,Product,Associate Product Manager,Noida,837572,7.2,37,Active,Good,6,2012,Arjun Khan,Full Time,"LLM, RAG, LangChain, Python"
10157,Arjun Gupta,Human Resources,HR Manager,Kolkata,2370569,2.8,28,Active,Excellent,3,2018,Isha Joshi,Full Time,"LLM, RAG, LangChain, Python"
10158,Rahul Singh,Finance,Finance Manager,Noida,1033984,3.8,49,Active,Meets Expectations,2,2019,Aditi Khan,Full Time,"LLM, RAG, LangChain, Python"
10159,Meera Kapoor,Finance,Risk Analyst,Bengaluru,932642,3.8,47,Active,Meets Expectations,1,2025,Tanvi Mehta,Full Time,"Python, PySpark, AWS"
10160,Manish Kulkarni,Human Resources,HR Analyst,Chennai,964367,5.2,21,Active,Good,5,2022,Kabir Joshi,Full Time,"LLM, RAG, LangChain, Python"
10161,Vikram Singh,Human Resources,Talent Partner,Pune,681310,6.7,54,On Leave,Good,3,2018,Karan Khan,Full Time,"Risk Analysis, Excel, SQL"
10162,Karan Mehta,Product,Product Analyst,Mumbai,2342861,14.6,34,On Leave,Meets Expectations,8,2022,Aarav Desai,Full Time,"SQL, Power BI, Excel"
10163,Riya Iyer,Human Resources,Talent Partner,Kolkata,2032328,5.2,36,Active,Very Good,4,2019,Nikhil Verma,Full Time,"Python, SQL, Pandas"
10164,Meera Gupta,Operations,Operations Analyst,Noida,2264403,4.2,21,Notice Period,Excellent,2,2016,Simran Mehta,Full Time,"Python, PySpark, AWS"
10165,Aditi Desai,Marketing,Growth Analyst,Kolkata,1209227,1.4,55,Active,Excellent,3,2022,Yash Sharma,Full Time,"Java, Spring Boot, SQL"
10166,Rohan Khan,Human Resources,Talent Partner,Gurugram,1194269,3.6,29,Active,Needs Improvement,7,2012,Tanvi Kapoor,Full Time,"Python, SQL, Pandas"
